user,rating_mean,rating_std,rating_median,rating_min,rating_max,rating_count,rating_range,rating_entropy,prop_rating_0,prop_rating_1,prop_rating_2,prop_rating_3,prop_rating_4,prop_rating_5,prop_extreme,prop_zero,prop_five,unique_items_rated,item_coverage_ratio,avg_item_popularity,std_item_popularity,mean_deviation,std_deviation,abs_mean_deviation,avg_item_avg_rating,std_item_avg_rating,label
100,3.147727272727273,1.1699275223378203,3.0,0,5,88,5,1.4554613281460829,0.045454545454545456,0.056818181818181816,0.10227272727272728,0.36363636363636365,0.36363636363636365,0.06818181818181818,0.11363636363636363,0.045454545454545456,0.06818181818181818,88,0.088,318.5568181818182,150.01745936356076,-0.3156343620808509,1.1190240789973454,0.8490488886583801,3.4633616348081238,0.32592558291296786,0
102,3.673469387755102,1.072385434287405,4.0,1,5,98,4,1.3470827324919616,0.0,0.061224489795918366,0.08163265306122448,0.17346938775510204,0.4897959183673469,0.19387755102040816,0.19387755102040816,0.0,0.19387755102040816,98,0.098,301.765306122449,144.0798605170284,0.37538103832228564,1.1190416978405877,0.9901448425563514,3.2980883494328164,0.3728292524868018,0
103,3.0,1.2909944487358058,3.0,0,5,103,5,1.555827150752323,0.05825242718446602,0.0970873786407767,0.11650485436893204,0.3106796116504854,0.34951456310679613,0.06796116504854369,0.1262135922330097,0.05825242718446602,0.06796116504854369,103,0.103,283.45631067961165,126.48016016619853,-0.2833088899252406,1.2735241535360962,1.0197887372412966,3.2833088899252405,0.3885403030329048,0
105,3.2601626016260163,0.8855617683002938,3.0,1,5,123,4,1.2645956849924864,0.0,0.032520325203252036,0.15447154471544716,0.37398373983739835,0.3983739837398374,0.04065040650406504,0.04065040650406504,0.0,0.04065040650406504,123,0.123,263.1219512195122,134.63652254391786,0.16277464056817392,0.6608871806071634,0.5484639239605638,3.0973879610578425,0.4846332882994819,0
106,2.987012987012987,1.152725677111091,3.0,0,5,77,5,1.479902777422776,0.03896103896103896,0.06493506493506493,0.19480519480519481,0.3116883116883117,0.35064935064935066,0.03896103896103896,0.07792207792207792,0.03896103896103896,0.03896103896103896,77,0.077,274.8831168831169,138.13484773430005,-0.31177656954447264,1.2170694685601313,0.998298942901904,3.29878955655746,0.3349346697176001,0
107,3.308641975308642,0.7903450824057997,3.0,1,5,162,4,1.1767579190160171,0.0,0.012345679012345678,0.11728395061728394,0.4691358024691358,0.35185185185185186,0.04938271604938271,0.04938271604938271,0.0,0.04938271604938271,162,0.162,300.6975308641975,127.85167500396277,-0.05877961914143053,0.7294722415919825,0.5888909106353255,3.3674215944500725,0.4016440728052491,0
108,3.37888198757764,0.7979982720758392,3.0,1,5,161,4,1.1630994910268184,0.0,0.018633540372670808,0.06832298136645963,0.5031055900621118,0.33540372670807456,0.07453416149068323,0.07453416149068323,0.0,0.07453416149068323,161,0.161,280.12422360248445,143.27298060712528,0.06618359697068679,0.8046848149744461,0.6419710442562261,3.312698390606953,0.42057849379850576,0
109,3.511111111111111,1.2120848140802265,4.0,0,5,180,5,1.5296910151956142,0.011111111111111112,0.044444444444444446,0.15555555555555556,0.25,0.28888888888888886,0.25,0.2611111111111111,0.011111111111111112,0.25,180,0.18,305.4277777777778,124.87562664152023,0.07028837479590509,1.0644927073644355,0.9054770437516965,3.440822736315206,0.3781815622934998,0
110,2.8225806451612905,0.878228349789135,3.0,1,5,62,4,1.2350438085825344,0.0,0.08064516129032258,0.20967741935483872,0.5483870967741935,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,62,0.062,305.2096774193548,136.5335648514378,-0.41852086588503534,0.8205106600550012,0.7142531062263684,3.2411015110463257,0.42194805677974556,0
111,3.4615384615384617,0.7516008556101077,3.0,1,5,65,4,1.0995483292423227,0.0,0.015384615384615385,0.046153846153846156,0.46153846153846156,0.4153846153846154,0.06153846153846154,0.06153846153846154,0.0,0.06153846153846154,65,0.065,327.8615384615385,142.60849783181283,-0.07590620864651078,0.6636044616761829,0.5488499936393945,3.537444670184972,0.3608909943292082,0
